ID,Lab Code,BP,Std,Sample Mat.,Feature,Site,kod obiektu,references,ceramika,faza na podstawie stylistyki ceramiki wg periodyzacji dla terenów Polski,scenario1,scenario2,region,wyżyny/niż,,,,,
,Poz-47715,6170,40,food residues on pottery,?,Brzezie 17,Brz_ 17/?-2,Czekaj-Zastawny 2014: 94,,Music-Note phase (phase II),II,II,krk,w,,Brz_ 17/?-2,6170,40,"R_Date(""Brz_ 17/?-2"",6170,40);"
,Ki(Kiev)-11290,5780,70,charcoal,feat. 158/B,Brzezie 17,Brz_ 17/158/B,Czekaj-Zastawny 2008: tab. 1,,Music-Note phase (phase II),II,II,krk,w,,Brz_ 17/158/B,5780,70,"R_Date(""Brz_ 17/158/B"",5780,70);"
,Ki(Kiev)-11295,5640,80,charcoal,feat. 216/B,Brzezie 17,Brz_ 17/216/B,Czekaj-Zastawny 2008: tab. 1,,Music-Note phase (phase II),II,II,krk,w,,Brz_ 17/216/B,5640,80,"R_Date(""Brz_ 17/216/B"",5640,80);"
,Poz-39841,6170,40,charcoal,feat. 2170 (house XVIII),Brzezie 17,Brz_ 17/2170-1,Czekaj-Zastawny 2014: tab. XI,,Music-Note phase (phase II),II,II,krk,w,,Brz_ 17/2170-1,6170,40,"R_Date(""Brz_ 17/2170-1"",6170,40);"
,Poz-39485,6140,40,charcoal,feat. 2175 (house XVIII),Brzezie 17,Brz_ 17/2175-1,Czekaj-Zastawny 2014: tab. XI,,Music-Note phase (phase II),II,II,krk,w,,Brz_ 17/2175-1,6140,40,"R_Date(""Brz_ 17/2175-1"",6140,40);"
,Poz-39484,6070,40,charcoal,feat. 2183 (house XVIII),Brzezie 17,Brz_ 17/2183-1,Czekaj-Zastawny 2014: tab. XI,,Music-Note phase (phase II),II,II,krk,w,,Brz_ 17/2183-1,6070,40,"R_Date(""Brz_ 17/2183-1"",6070,40);"
,Poz-39483,6090,40,charcoal,feat. 2186 (house XVIII),Brzezie 17,Brz_ 17/2186-2,Czekaj-Zastawny 2014: tab. XI,,Music-Note phase (phase II),II,II,krk,w,,Brz_ 17/2186-2,6090,40,"R_Date(""Brz_ 17/2186-2"",6090,40);"
,Ki(Kiev)-11286,6215,80,charcoal,feat. 238/C,Brzezie 17,Brz_ 17/238/C-1,Czekaj-Zastawny 2008: tab. 1,,Music-Note phase (phase II),II,II,krk,w,,Brz_ 17/238/C-1,6215,80,"R_Date(""Brz_ 17/238/C-1"",6215,80);"
,Ki(Kiev)-11287,6180,80,charcoal,feat. 238/C,Brzezie 17,Brz_ 17/238/C-2,Czekaj-Zastawny 2008: tab. 1,,Music-Note phase (phase II),II,II,krk,w,,Brz_ 17/238/C-2,6180,80,"R_Date(""Brz_ 17/238/C-2"",6180,80);"
,Ki(Kiev)-11291,6140,80,charcoal,feat. 238/C,Brzezie 17,Brz_ 17/238/C-3,Czekaj-Zastawny 2008: tab. 1,,Music-Note phase (phase II),II,II,krk,w,,Brz_ 17/238/C-3,6140,80,"R_Date(""Brz_ 17/238/C-3"",6140,80);"
,Ki(Kiev)-11293,5720,80,charcoal,feat. 238/C,Brzezie 17,Brz_ 17/238/C-4,Czekaj-Zastawny 2008: tab. 1,,Music-Note phase (phase II),II,II,krk,w,,Brz_ 17/238/C-4,5720,80,"R_Date(""Brz_ 17/238/C-4"",5720,80);"
,Ki(Kiev)-11297,5660,80,charcoal,feat. 238/C,Brzezie 17,Brz_ 17/238/C-5,Czekaj-Zastawny 2008: tab. 1,,Music-Note phase (phase II),II,II,krk,w,,Brz_ 17/238/C-5,5660,80,"R_Date(""Brz_ 17/238/C-5"",5660,80);"
,Poz-47716,6200,40,food residues on pottery,feat. 2464/A,Brzezie 17,Brz_ 17/2464/A,Czekaj-Zastawny 2014: 94,,Music-Note phase (phase II),II,II,krk,w,,Brz_ 17/2464/A,6200,40,"R_Date(""Brz_ 17/2464/A"",6200,40);"
,Ki(Kiev)-11292,5840,70,charcoal,feat. 317/B,Brzezie 17,Brz_ 17/317/B-3,Czekaj-Zastawny 2008: tab. 1,,Music-Note phase (phase II),II,II,krk,w,,Brz_ 17/317/B-3,5840,70,"R_Date(""Brz_ 17/317/B-3"",5840,70);"
